,FieldID,Proteomics_cases,UKB_cases,Path,Category,Field,Items,Stability,ValueType,Units,ItemType
0,131280,304,2072,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I07 first reported (rheumatic tricuspid valve diseases),2072,Ongoing,Date,,Data
1,131106,208,1649,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G83 first reported (other paralytic syndromes),1649,Ongoing,Date,,Data
2,132510,65,623,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,2417,Date Q43 first reported (other congenital malformations of intestine),623,Ongoing,Date,,Data
3,130646,287,1998,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",2403,Date D63 first reported (anaemia in chronic diseases classified elsewhere),1998,Ongoing,Date,,Data
4,131874,320,3081,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M18 first reported (arthrosis of first carpometacarpal joint),3081,Ongoing,Date,,Data
5,131290,469,2285,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I12 first reported (hypertensive renal disease),2285,Ongoing,Date,,Data
6,130310,102,783,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date B80 first reported (enterobiasis),783,Ongoing,Date,,Data
7,132276,1653,15313,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O80 first reported (single spontaneous delivery),15313,Ongoing,Date,,Data
8,132104,1542,13801,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N64 first reported (other disorders of breast),13801,Ongoing,Date,,Data
9,130784,216,1844,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",2404,Date E61 first reported (deficiency of other nutrient elements),1844,Ongoing,Date,,Data
10,131900,997,8115,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M35 first reported (other systemic involvement of connective tissue),8115,Ongoing,Date,,Data
11,131148,154,1352,Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,Date H15 first reported (disorders of sclera),1352,Ongoing,Date,,Data
12,130804,63,601,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",2404,Date E73 first reported (lactose intolerance),601,Ongoing,Date,,Data
13,131638,3907,36219,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K58 first reported (irritable bowel syndrome),36219,Ongoing,Date,,Data
14,130896,437,3966,Health-related outcomes > First occurrences > Mental and behavioural disorders,2405,Date F33 first reported (recurrent depressive disorder),3966,Ongoing,Date,,Data
15,131646,5440,49834,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K62 first reported (other diseases of anus and rectum),49834,Ongoing,Date,,Data
16,131616,1013,9414,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K42 first reported (umbilical hernia),9414,Ongoing,Date,,Data
17,132166,253,2459,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O02 first reported (other abnormal products of conception),2459,Ongoing,Date,,Data
18,131964,3220,27206,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M81 first reported (osteoporosis without pathological fracture),27206,Ongoing,Date,,Data
19,131366,1300,11119,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I63 first reported (cerebral infarction),11119,Ongoing,Date,,Data
20,131788,63,541,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L68 first reported (hypertrichosis),541,Ongoing,Date,,Data
21,131948,458,3905,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M71 first reported (other bursopathies),3905,Ongoing,Date,,Data
22,132118,554,5164,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N76 first reported (other inflammation of vagina and vulva),5164,Ongoing,Date,,Data
23,130622,3878,33733,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",2403,Date D50 first reported (iron deficiency anaemia),33733,Ongoing,Date,,Data
24,132196,52,407,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O21 first reported (excessive vomiting in pregnancy),407,Ongoing,Date,,Data
25,131038,590,3728,Health-related outcomes > First occurrences > Nervous system disorders,2406,"Date G31 first reported (other degenerative diseases of nervous system, not elsewhere classified)",3728,Ongoing,Date,,Data
26,132050,1447,11666,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,"Date N28 first reported (other disorders of kidney and ureter, not elsewhere classified)",11666,Ongoing,Date,,Data
27,132220,225,2058,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O34 first reported (maternal care for known or suspected abnormality of pelvic organs),2058,Ongoing,Date,,Data
28,131322,1141,8668,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I34 first reported (nonrheumatic mitral valve disorders),8668,Ongoing,Date,,Data
29,131082,79,567,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G60 first reported (hereditary and idiopathic neuropathy),567,Ongoing,Date,,Data
30,131304,625,5385,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I24 first reported (other acute ischaemic heart diseases),5385,Ongoing,Date,,Data
31,131840,116,1053,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M00 first reported (pyogenic arthritis),1053,Ongoing,Date,,Data
32,130190,110,1051,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,"Date B08 first reported (other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified)",1051,Ongoing,Date,,Data
33,131876,10343,92748,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M19 first reported (other arthrosis),92748,Ongoing,Date,,Data
34,131324,1108,9694,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I35 first reported (nonrheumatic aortic valve disorders),9694,Ongoing,Date,,Data
35,132252,55,542,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O64 first reported (obstructed labour due to malposition and malpresentation of foetus),542,Ongoing,Date,,Data
36,131230,1127,10348,Health-related outcomes > First occurrences > Ear and mastoid process disorders,2408,Date H66 first reported (suppurative and unspecified otitis media),10348,Ongoing,Date,,Data
37,130774,866,7386,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",2404,Date E55 first reported (vitamin d deficiency),7386,Ongoing,Date,,Data
38,132098,227,2084,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N61 first reported (inflammatory disorders of breast),2084,Ongoing,Date,,Data
39,132144,269,2467,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,"Date N91 first reported (absent, scanty and rare menstruation)",2467,Ongoing,Date,,Data
40,130922,304,2604,Health-related outcomes > First occurrences > Mental and behavioural disorders,2405,"Date F52 first reported (sexual dysfunction, not caused by organic disorder or disease)",2604,Ongoing,Date,,Data
41,132124,2310,22221,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N81 first reported (female genital prolapse),22221,Ongoing,Date,,Data
42,132562,99,861,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,2417,Date Q76 first reported (congenital malformations of spine and bony thorax),861,Ongoing,Date,,Data
43,131482,228,2120,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J39 first reported (other diseases of upper respiratory tract),2120,Ongoing,Date,,Data
44,131422,92,706,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I99 first reported (other and unspecified disorders of circulatory system),706,Ongoing,Date,,Data
45,131402,2729,25607,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I83 first reported (varicose veins of lower extremities),25607,Ongoing,Date,,Data
46,131364,183,1564,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I62 first reported (other nontraumatic intracranial haemorrhage),1564,Ongoing,Date,,Data
47,132122,1033,10168,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N80 first reported (endometriosis),10168,Ongoing,Date,,Data
48,131360,234,2117,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I60 first reported (subarachnoid haemorrhage),2117,Ongoing,Date,,Data
49,132036,1420,13036,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N20 first reported (calculus of kidney and ureter),13036,Ongoing,Date,,Data
50,130686,252,2176,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",2403,Date D86 first reported (sarcoidosis),2176,Ongoing,Date,,Data
51,131796,442,3926,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L73 first reported (other follicular disorders),3926,Ongoing,Date,,Data
52,131470,821,7993,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J33 first reported (nasal polyp),7993,Ongoing,Date,,Data
