iter	Passed	Remaining
0	94	770981
1	185	760074
2	280	765113
3	356	729919
4	441	722238
5	531	724981
6	632	739646
7	711	727650
8	789	717476
9	866	709138
10	947	704365
11	1036	706444
12	1117	702957
13	1200	701144
14	1277	696656
15	1358	694139
16	1437	691220
17	1517	688974
18	1599	688189
19	1679	686159
20	1752	682014
21	1832	680440
22	1913	679710
23	1995	679147
24	2072	677120
25	2153	676305
26	2232	675206
27	2319	676404
28	2406	677364
29	2498	679856
30	2584	680273
31	2662	678923
32	2742	677986
33	2823	677453
34	2905	677209
35	2989	677256
36	3073	677520
37	3158	677697
38	3238	677073
39	3319	676538
40	3407	677476
41	3486	676451
42	3569	676495
43	3650	675972
44	3731	675584
45	3812	675166
46	3897	675474
47	3977	674921
48	4059	674567
49	4144	674847
50	4223	674205
51	4302	673581
52	4387	673716
53	4461	672299
54	4539	671632
55	4622	671584
56	4700	670851
57	4780	670438
58	4862	670274
59	4942	669807
60	5024	669772
61	5103	669161
62	5183	668889
63	5265	668683
64	5345	668390
65	5432	668840
66	5510	668225
67	5588	667672
68	5677	668352
69	5756	667929
70	5839	667871
71	5917	667368
72	5997	667030
73	6076	666599
74	6161	666885
75	6245	666926
76	6323	666387
77	6402	666042
78	6481	665633
79	6561	665375
80	6643	665219
81	6725	665188
82	6807	665111
83	6889	665039
84	6968	664595
85	7049	664429
86	7142	665431
87	7224	665297
88	7306	665174
89	7387	665062
90	7472	665240
91	7552	664928
92	7632	664712
93	7710	664274
94	7792	664162
95	7875	664159
96	7970	665144
97	8056	665374
98	8142	665592
99	8221	665279
100	8300	664943
101	8381	664742
102	8462	664609
103	8544	664483
104	8631	664810
105	8712	664607
106	8800	664971
107	8888	665336
108	8975	665596
109	9060	665728
110	9139	665380
111	9219	665152
112	9299	664870
113	9383	664879
114	9461	664529
115	9541	664285
116	9626	664367
117	9704	664048
118	9789	664104
119	9864	663585
120	9943	663252
121	10031	663574
122	10106	663028
123	10186	662757
124	10266	662554
125	10347	662379
126	10430	662405
127	10521	662869
128	10610	663182
129	10698	663467
130	10778	663265
131	10863	663333
132	10950	663504
133	11030	663331
134	11112	663187
135	11196	663225
136	11290	663833
137	11379	664142
138	11461	664000
139	11548	664182
140	11632	664210
141	11721	664497
142	11808	664683
143	11893	664698
144	11987	665250
145	12069	665132
146	12157	665365
147	12242	665423
148	12327	665424
149	12409	665290
150	12496	665474
151	12576	665225
152	12664	665413
153	12747	665373
154	12829	665212
155	12907	664909
156	12989	664770
157	13077	664965
158	13157	664738
159	13239	664623
160	13321	664494
161	13404	664456
162	13497	664860
163	13584	664979
164	13671	665089
165	13757	665179
166	13834	664800
167	13919	664840
168	14014	665334
169	14111	665911
170	14198	666018
171	14293	666473
172	14385	666823
173	14473	666952
174	14562	667143
175	14635	666594
176	14721	666638
177	14800	666372
178	14890	666583
179	14975	666596
180	15059	666546
181	15149	666726
182	15236	666821
183	15317	666651
184	15399	666487
185	15491	666785
186	15583	667079
187	15665	666958
188	15758	667288
189	15844	667311
190	15938	667650
191	16022	667615
192	16106	667541
193	16190	667466
194	16286	667895
195	16365	667641
196	16451	667664
197	16551	668245
198	16638	668293
199	16729	668501
200	16821	668750
201	16907	668750
202	16997	668941
203	17077	668694
204	17173	669092
205	17262	669213
206	17352	669389
207	17438	669378
208	17524	669364
209	17619	669695
210	17713	669989
211	17797	669916
212	17883	669928
213	17969	669915
214	18057	669966
215	18146	670073
216	18236	670208
217	18328	670419
218	18416	670490
219	18505	670582
220	18595	670713
221	18686	670874
222	18776	670980
223	18862	670976
224	18946	670869
225	19040	671137
226	19132	671314
227	19225	671530
228	19314	671638
229	19404	671727
230	19498	671964
231	19589	672120
232	19671	671942
233	19763	672143
234	19852	672191
235	19947	672460
236	20043	672777
237	20125	672594
238	20225	673033
239	20313	673066
240	20403	673162
241	20500	673465
242	20593	673661
243	20684	673779
244	20779	674023
245	20868	674078
246	20952	673957
247	21042	674027
248	21137	674269
249	21229	674409
250	21317	674416
251	21415	674765
252	21504	674801
253	21598	674996
254	21683	674912
255	21767	674807
256	21863	675033
257	21955	675184
258	22044	675222
259	22140	675458
260	22232	675580
261	22328	675831
262	22422	676011
263	22513	676074
264	22611	676373
265	22705	676562
266	22805	676901
267	22892	676857
268	22982	676907
269	23076	677070
270	23171	677287
271	23261	677312
272	23350	677343
273	23439	677344
274	23530	677427
275	23619	677428
276	23708	677437
277	23799	677511
278	23894	677709
279	23989	677883
280	24081	677966
281	24176	678133
282	24264	678130
283	24357	678238
284	24457	678539
285	24553	678746
286	24647	678869
287	24741	679003
288	24837	679208
289	24926	679216
