iter	Passed	Remaining
0	179	1472966
1	308	1264514
2	444	1212961
3	579	1185950
4	719	1178125
5	851	1161342
6	988	1155966
7	1121	1146786
8	1259	1145544
9	1410	1153908
10	1551	1153857
11	1684	1147935
12	1821	1146032
13	1958	1143754
14	2096	1142788
15	2231	1140194
16	2362	1136055
17	2495	1133435
18	2631	1131884
19	2777	1134985
20	2914	1134019
21	3053	1134123
22	3191	1133399
23	3324	1131403
24	3454	1128486
25	3593	1128709
26	3737	1130213
27	3877	1130590
28	4009	1128592
29	4144	1127706
30	4276	1125921
31	4415	1125917
32	4557	1126757
33	4693	1126205
34	4826	1124877
35	4962	1124230
36	5106	1125521
37	5240	1124501
38	5373	1123413
39	5508	1122585
40	5641	1121599
41	5787	1123125
42	5951	1127945
43	6089	1127676
44	6235	1128856
45	6376	1129150
46	6503	1127027
47	6644	1127324
48	6780	1126871
49	6928	1128256
50	7064	1127637
51	7196	1126555
52	7341	1127343
53	7491	1129052
54	7642	1130703
55	7787	1131426
56	7939	1133185
57	8074	1132316
58	8247	1136905
59	8397	1138112
60	8526	1136547
61	8664	1136226
62	8795	1134889
63	8928	1133856
64	9066	1133585
65	9208	1133768
66	9346	1133452
67	9487	1133469
68	9628	1133490
69	9781	1134919
70	9919	1134621
71	10057	1134266
72	10194	1133777
73	10336	1133943
74	10484	1134683
75	10620	1134160
76	10762	1134277
77	10905	1134498
78	11045	1134357
79	11181	1133769
80	11326	1134208
81	11471	1134593
82	11616	1134873
83	11756	1134820
84	11893	1134345
85	12028	1133785
86	12167	1133549
87	12307	1133395
88	12466	1135002
89	12598	1134124
90	12742	1134335
91	12878	1133863
92	13012	1133217
93	13154	1133237
94	13295	1133213
95	13449	1134275
96	13598	1134806
97	13732	1134230
98	13874	1134190
99	14012	1133898
100	14155	1133982
101	14299	1134183
102	14434	1133609
103	14587	1134477
104	14736	1134983
105	14885	1135531
106	15030	1135743
107	15169	1135472
108	15303	1134811
109	15430	1133708
110	15562	1132953
111	15696	1132422
112	15829	1131749
113	15970	1131660
114	16107	1131302
115	16246	1131069
116	16386	1130968
117	16518	1130238
118	16654	1129865
119	16809	1130719
120	16952	1130802
121	17096	1130895
122	17231	1130446
123	17370	1130207
124	17504	1129697
125	17641	1129318
126	17774	1128730
127	17905	1128029
128	18043	1127792
129	18170	1126869
130	18296	1125879
131	18437	1125783
132	18574	1125514
133	18723	1125923
134	18855	1125343
135	18989	1124876
136	19128	1124655
137	19268	1124546
138	19407	1124376
139	19549	1124353
140	19689	1124253
141	19824	1123831
142	19956	1123263
143	20096	1123194
144	20239	1123209
145	20376	1122941
146	20521	1123110
147	20661	1122964
148	20806	1123153
149	20943	1122847
150	21073	1122205
151	21209	1121848
152	21347	1121653
153	21481	1121241
154	21614	1120737
155	21750	1120411
156	21878	1119680
157	22019	1119636
158	22162	1119683
159	22290	1118991
160	22427	1118731
161	22561	1118306
162	22701	1118214
163	22847	1118430
164	22989	1118410
165	23123	1117985
166	23256	1117554
167	23388	1117070
168	23523	1116747
169	23661	1116557
170	23803	1116537
171	23949	1116719
172	24092	1116741
173	24249	1117434
174	24378	1116814
175	24509	1116277
176	24641	1115843
177	24773	1115385
178	24905	1114909
179	25073	1116066
180	25201	1115429
181	25331	1114855
182	25465	1114491
183	25596	1114000
184	25732	1113739
185	25872	1113634
186	26014	1113617
187	26151	1113367
188	26285	1113041
189	26412	1112367
190	26556	1112437
191	26688	1112040
192	26831	1112027
193	26966	1111762
194	27103	1111539
195	27231	1110944
196	27375	1110989
197	27509	1110669
198	27640	1110198
199	27779	1110060
200	27910	1109631
201	28036	1108961
202	28163	1108366
203	28287	1107664
204	28421	1107324
205	28557	1107105
206	28695	1106921
207	28837	1106917
208	28977	1106826
209	29107	1106367
210	29233	1105740
211	29367	1105423
212	29494	1104879
213	29624	1104426
214	29752	1103902
215	29885	1103542
216	30009	1102875
217	30153	1102961
218	30288	1102707
219	30418	1102273
220	30554	1102034
221	30678	1101392
222	30810	1101038
223	30947	1100836
224	31082	1100602
225	31209	1100080
226	31337	1099571
227	31470	1099253
228	31600	1098844
229	31727	1098335
230	31859	1097971
231	31982	1097338
232	32122	1097273
233	32253	1096894
234	32379	1096371
235	32508	1095934
236	32644	1095721
237	32771	1095240
238	32912	1095203
239	33046	1094936
240	33170	1094346
241	33299	1093918
242	33423	1093360
243	33556	1093075
244	33682	1092560
245	33808	1092042
246	33932	1091483
247	34058	1090969
248	34182	1090418
249	34309	1089953
250	34443	1089708
251	34572	1089316
252	34697	1088792
253	34822	1088272
254	34951	1087878
255	35074	1087316
256	35208	1087087
257	35339	1086747
258	35469	1086398
259	35593	1085861
260	35729	1085698
261	35851	1085125
262	35972	1084521
263	36096	1083986
264	36220	1083470
265	36342	1082885
266	36467	1082418
267	36590	1081886
268	36718	1081481
269	36842	1080983
270	36972	1080663
271	37097	1080191
272	37229	1079932
273	37360	1079637
274	37498	1079548
275	37626	1079170
276	37751	1078712
277	37877	1078294
278	38009	1078026
279	38153	1078105
280	38296	1078148
281	38426	1077863
282	38558	1077583
283	38686	1077233
284	38820	1077019
285	38952	1076775
286	39086	1076594
287	39224	1076502
288	39347	1076004
289	39473	1075584
290	39597	1075118
291	39724	1074726
292	39853	1074401
293	39983	1074109
294	40108	1073684
295	40239	1073414
296	40369	1073119
297	40500	1072847
298	40635	1072702
299	40782	1072859
300	40912	1072572
301	41039	1072188
302	41177	1072108
303	41306	1071795
304	41437	1071528
305	41573	1071404
306	41700	1071050
307	41831	1070780
308	41975	1070843
309	42109	1070658
310	42231	1070176
311	42367	1070042
312	42497	1069769
313	42624	1069415
314	42752	1069091
315	42885	1068876
316	43014	1068575
317	43142	1068248
318	43270	1067936
319	43405	1067770
320	43533	1067455
321	43659	1067074
322	43818	1067505
323	43949	1067278
324	44074	1066877
325	44206	1066648
326	44331	1066251
327	44462	1066012
328	44588	1065650
329	44718	1065392
330	44846	1065071
331	44982	1064942
332	45116	1064770
333	45246	1064513
334	45393	1064635
335	45538	1064736
336	45677	1064685
337	45806	1064397
338	45936	1064138
339	46068	1063907
340	46196	1063612
341	46322	1063255
342	46456	1063071
343	46585	1062804
344	46710	1062426
345	46833	1062002
346	46958	1061640
347	47081	1061227
348	47207	1060881
349	47330	1060484
350	47456	1060126
351	47581	1059776
352	47712	1059535
353	47838	1059198
354	47997	1059591
355	48125	1059310
356	48251	1058962
