iter	Passed	Remaining
0	1	744
1	3	742
2	5	754
3	7	756
4	9	754
5	11	751
6	13	750
7	15	744
8	17	741
9	19	736
10	21	731
11	23	732
12	25	735
13	26	729
14	28	724
15	30	722
16	32	716
17	34	708
18	35	702
19	37	693
20	38	686
21	40	680
22	41	675
23	43	671
24	45	665
25	46	660
26	48	654
27	49	649
28	51	646
29	53	642
30	54	638
31	56	634
32	57	630
33	59	626
34	60	622
35	62	618
36	63	615
37	65	611
38	66	607
39	68	604
40	69	599
41	71	596
42	72	593
43	74	590
44	75	587
45	77	584
46	79	581
47	80	578
48	82	575
49	83	573
50	85	571
51	86	568
52	88	566
53	89	564
54	91	561
55	93	559
56	94	556
57	96	555
58	97	552
59	99	550
60	100	547
61	102	545
62	103	543
63	105	541
64	106	539
65	108	538
66	110	536
67	111	534
68	113	532
69	114	530
70	116	527
71	117	525
72	119	523
73	120	520
74	122	518
75	123	516
76	125	515
77	127	513
78	128	511
79	130	508
80	131	506
81	132	504
82	134	501
83	135	499
84	137	497
85	138	495
86	140	493
87	141	491
88	143	489
89	144	487
90	146	485
91	147	483
92	149	482
93	150	480
94	152	478
95	153	476
96	155	474
97	156	472
98	158	470
99	160	469
100	161	467
101	163	465
102	164	463
103	166	461
